Date,Week_Until_Race,Day_of_Week,Workout_Category,Original_Description,Total_Miles,E_Pace_Miles,M_Pace_Miles,T_Pace_Miles,E_Pace_Time_min,T_Intervals_Desc,I_Intervals_Desc,R_Intervals_Desc
2025-10-13,18,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-10-14,18,Tuesday,Q1,4E+8M+1T+1E,14.0,5,8,1,0,,,
2025-10-15,18,Wednesday,Easy,Easy Run,4.0,4,0,0,0,,,
2025-10-16,18,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-10-17,18,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-10-18,18,Saturday,Q2,8E+2x(2T w/2 min rests)+1T+2E,15.0,10,0,5,0,"2x(2T w/2 min rests); 1T",,
2025-10-19,18,Sunday,Easy,Easy Run,4.0,4,0,0,0,,,
2025-10-20,17,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-10-21,17,Tuesday,Q1,2E+3T+40 min E+2T+1E,13.0,3,0,5,40,,,
2025-10-22,17,Wednesday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-10-23,17,Thursday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-10-24,17,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-10-25,17,Saturday,Q2,"6E+5x(3 min I w/2 min jg)+6x(1 min R w/2 min jg)+2E",13.0,8,0,0,0,,"5x(3 min I w/2 min jg)","6x(1 min R w/2 min jg)"
2025-10-26,17,Sunday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-10-27,16,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-10-28,16,Tuesday,Q1,steady E run of 90-120 min,15.0,0,0,0,"90-120",,,
2025-10-29,16,Wednesday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-10-30,16,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-10-31,16,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-01,16,Saturday,Q2,6E+2T+2 min E+2T+2 min E+1T+2E,13.0,8,0,5,4,,,
2025-11-02,16,Sunday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-11-03,15,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-04,15,Tuesday,Q1,2E+8M+1E+2M+2E,15.0,5,10,0,0,,,
2025-11-05,15,Wednesday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-11-06,15,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-11-07,15,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-08,15,Saturday,Q2,40 min E+3x(2T w/2 min rests)+2E,13.0,2,0,6,40,"3x(2T w/2 min rests)",,
2025-11-09,15,Sunday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-11-10,14,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-11,14,Tuesday,Q1,1E+2x(2T w/2 min rests)+60 min E+1T+1E,15.0,2,0,5,60,"2x(2T w/2 min rests); 1T",,
2025-11-12,14,Wednesday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-11-13,14,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-11-14,14,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-15,14,Saturday,Q2,6E+5x(4 min I w/3 min jg)+2E,13.0,8,0,0,0,,"5x(4 min I w/3 min jg)",
2025-11-16,14,Sunday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-11-17,13,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-18,13,Tuesday,Q1,steady E run of 100-120 min,16.0,0,0,0,"100-120",,,
2025-11-19,13,Wednesday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-11-20,13,Thursday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-11-21,13,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-22,13,Saturday,Q2,40 min E+3x(2T w/2 min rests)+2E,13.0,2,0,6,40,"3x(2T w/2 min rests)",,
2025-11-23,13,Sunday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-11-24,12,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-25,12,Tuesday,Q1,2E+6M+1E+6M+1E,16.0,4,12,0,0,,,
2025-11-26,12,Wednesday,Easy,Easy Run,7.0,7,0,0,0,,,
2025-11-27,12,Thursday,Easy,Easy Run,6.0,6,0,0,0,,,
2025-11-28,12,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-11-29,12,Saturday,Q2,6E+3T+3 min E+2T+2 min E+1T+2E,14.0,8,0,6,5,,,
2025-11-30,12,Sunday,Easy,Easy Run,7.0,7,0,0,0,,,
2025-12-01,11,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-02,11,Tuesday,Q1,10E+2x(2T w/2 min rests)+2E,15.0,12,0,4,0,"2x(2T w/2 min rests)",,
2025-12-03,11,Wednesday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-12-04,11,Thursday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-12-05,11,Friday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-06,11,Saturday,Q2,"8E+5x(3 min I w/2 min jg)+6x(1 min R w/2 min jg)+2E",15.0,10,0,0,0,,"5x(3 min I w/2 min jg)","6x(1 min R w/2 min jg)"
2025-12-07,11,Sunday,Easy,Easy Run,5.0,5,0,0,0,,,
2025-12-08,10,Monday,Rest,Rest,0.0,0,0,0,0,,,
2025-12-09,10,Tuesday,Q1,steady E run of 120 min,16.0,0,0,0,120,,,
2025-12-10,10,Wednesday,Easy,Easy Run,7.0,7,0,0,0,,,
