Date,Week_Until_Race,Day_of_Week,Workout_Category,Original_Description,Total_Miles,E_Pace_Miles,M_Pace_Miles,T_Pace_Miles,I_Pace_Miles,R_Pace_Miles,Notes
2025-08-18,26,Monday,Rest,Rest,0.0,0,0,0,0,0,"Start of Austin Marathon Training Block"
2025-08-19,26,Tuesday,Easy,30 min E,3.5,3.5,0,0,0,0,"Focus on re-establishing routine. Run by effort."
2025-08-20,26,Wednesday,Strength,Full Body Strength Training,0.0,0,0,0,0,0,"Continue with off-season lifting"
2025-08-21,26,Thursday,Easy,30 min E w/ 4x100m strides,3.5,3.5,0,0,0,0,"Strides are gentle accelerations, not sprints"
2025-08-22,26,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-08-23,26,Saturday,Long,60 min E,7.0,7,0,0,0,0,"Keep it easy, focus on time on feet. Early morning start!"
2025-08-24,26,Sunday,Cross-Train,Cycling or Swimming,0.0,0,0,0,0,0,"60-90 minutes, low intensity"
2025-08-25,25,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-08-26,25,Tuesday,Q1,First Q Session: 2E + 2x(1T w/1 min rest) + 3x(1 min R w/2 min jg) + 1E,8.0,5.0,0,2.0,0,0.5,"Daniels' 2Q Plan Begins. Adjust paces for heat."
2025-08-27,25,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,"Recovery run"
2025-08-28,25,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-08-29,25,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-08-30,25,Saturday,Q2,Lesser of 12 miles (19km) & 90 min E,12.0,12,0,0,0,0,"Long run. Prioritize hydration."
2025-08-31,25,Sunday,Easy,30 min E,3.5,3.5,0,0,0,0,"Optional light recovery run or cross-train"
2025-09-01,24,Monday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-02,24,Tuesday,Q1,30 min E + 8M,11.5,3.5,8,0,0,0,"First taste of Marathon pace. It will feel hard in the heat."
2025-09-03,24,Wednesday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-04,24,Thursday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-05,24,Friday,Rest,Rest,0.0,0,0,0,0,0,""
2025-09-06,24,Saturday,Q2,2E + 4x(1T w/1 min rest) + 2E,8.0,4,0,4,0,0,""
2025-09-07,24,Sunday,Easy,45 min E,5.0,5,0,0,0,0,""
2025-09-08,23,Monday,Rest,Rest,0.0,0,0,0,0,0,""
